Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-02-22T20:59:59+11:00,"Sunday, 21 Feb 2021","Monday, 22 Feb 2021",21/02/2021 21:15,22/02/2021 5:54,8:39:00,0:00:00,0:00:00,1,8:39:00,8:15:51,100,98.7,7:31:26,7:10:31,2:47:55,2:38:23,55.9,56.2,73.2,75.9,56,55,88,71
2021-02-23T20:59:59+11:00,"Monday, 22 Feb 2021","Tuesday, 23 Feb 2021",22/02/2021 21:15,23/02/2021 5:47,9:07:00,0:26:00,0:00:00,2,8:41:00,8:21:17,94.9,98,8:08:41,7:21:42,4:22:49,2:58:08,56.1,56.4,75.1,75.9,60,56,93,76
2021-02-24T20:59:59+11:00,"Tuesday, 23 Feb 2021","Wednesday, 24 Feb 2021",23/02/2021 21:12,24/02/2021 5:53,8:41:00,0:00:00,0:00:00,1,8:41:00,8:23:00,100,98,7:33:50,7:21:04,2:33:14,2:50:05,55.7,56.6,69.1,75.4,56,56.4,64,75
2021-02-25T20:59:59+11:00,"Wednesday, 24 Feb 2021","Thursday, 25 Feb 2021",24/02/2021 21:30,25/02/2021 5:53,8:23:00,0:00:00,0:00:00,1,8:23:00,8:20:00,100,98,7:01:49,7:18:40,2:01:56,2:47:41,53.8,56.5,71.6,74.9,58,56.9,79,76
2021-02-26T20:59:59+11:00,"Thursday, 25 Feb 2021","Friday, 26 Feb 2021",25/02/2021 21:11,26/02/2021 5:21,8:10:00,0:00:00,0:00:00,1,8:10:00,8:25:42,100,99.3,7:10:45,7:22:38,3:03:45,2:52:30,54.4,56.3,74.2,75.1,53,56.7,110,80
2021-02-27T20:59:59+11:00,"Friday, 26 Feb 2021","Saturday, 27 Feb 2021",26/02/2021 21:43,27/02/2021 6:56,9:13:00,0:00:00,0:00:00,1,9:13:00,8:21:17,100,99.3,8:04:33,7:18:31,2:33:37,2:50:18,56.4,56.3,86.5,75,59,57.3,101,84
2021-02-28T20:59:59+11:00,"Saturday, 27 Feb 2021","Sunday, 28 Feb 2021",27/02/2021 23:15,28/02/2021 7:43,8:28:00,0:00:00,0:00:00,1,8:28:00,8:36:25,100,99.3,7:19:17,7:32:54,2:03:09,2:46:37,64.1,56.6,72.5,74.6,62,57.7,48,83
2021-03-01T20:59:59+11:00,"Sunday, 28 Feb 2021","Monday, 1 Mar 2021",28/02/2021 21:15,1/03/2021 5:43,8:28:00,0:00:00,0:00:00,1,8:28:00,8:34:51,100,99.3,7:14:12,7:30:27,2:18:33,2:42:26,53.9,56.3,75,74.9,53,57.3,57,79
2021-03-02T20:59:59+11:00,"Monday, 1 Mar 2021","Tuesday, 2 Mar 2021",1/03/2021 21:15,2/03/2021 5:05,7:50:00,0:09:00,0:00:00,1,7:41:00,8:26:17,98.1,99.7,7:15:56,7:22:54,4:21:14,2:42:12,57.4,56.5,76.2,75,54,56.4,79,77
2021-03-03T20:59:59+11:00,"Tuesday, 2 Mar 2021","Wednesday, 3 Mar 2021",2/03/2021 21:14,3/03/2021 5:07,7:53:00,0:00:00,0:00:00,1,7:53:00,8:19:25,100,99.7,7:10:07,7:19:31,3:48:52,2:53:00,56.1,56.6,70.1,75.1,53,56,71,78
